EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105113 105118 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
105113,19010101,    0,    0
105113,19010102,    4,    0
105113,19010103,   58,    0
105113,19010104,    3,    0
105113,19010105,   24,    0
105113,19010106,   30,    0
105113,19010107,   17,    0
105113,19010108,    0,    0
105113,19010109,    0,    0
105113,19010110,   33,    0
105113,19010111,   45,    0
105113,19010112,   46,    0
105113,19010113,    0,    0
105113,19010114,    0,    0
105113,19010115,    0,    0
105113,19010116,    0,    0
105113,19010117,    0,    0
105113,19010118,    0,    0
105113,19010119,    0,    0
105113,19010120,    0,    0
105113,19010121,    0,    0
105113,19010122,   25,    0
105113,19010123,    0,    0
105113,19010124,    0,    0
105113,19010125,    0,    0
105113,19010126,    2,    0
105113,19010127,    0,    0
105113,19010128,    0,    0
105113,19010129,   37,    0
105113,19010130,   38,    0
105113,19010131,   54,    0
105113,19010201,    0,    0
105113,19010202,   44,    0
105113,19010203,    6,    0
105113,19010204,    0,    0
105113,19010205,   25,    0
105113,19010206,    0,    0
105113,19010207,    0,    0
105113,19010208,   19,    0
105113,19010209,    3,    0
105113,19010210,   78,    0
105113,19010211,   62,    0
105113,19010212,   93,    0
105113,19010213,   32,    0
105113,19010214,   66,    0
105113,19010215,   46,    0
105113,19010216,   62,    0
105113,19010217,    0,    0
105113,19010218,   33,    0
105113,19010219,   64,    0
105113,19010220,   24,    0
105113,19010221,   52,    0
105113,19010222,   43,    0
105113,19010223,   58,    0
105113,19010224,   69,    0
105113,19010225,   70,    0
105113,19010226,   83,    0
105113,19010227,    0,    0
105113,19010228,   40,    0
105113,19010301,    0,    0
105113,19010302,   13,    0
105113,19010303,    5,    0
105113,19010304,   15,    0
105113,19010305,    4,    0
105113,19010306,   81,    0
105113,19010307,   36,    0
105113,19010308,   97,    0
105113,19010309,   16,    0
105113,19010310,    4,    0
105113,19010311,   13,    0
105113,19010312,    0,    0
105113,19010313,    0,    0
105113,19010314,   18,    0
105113,19010315,    0,    0
105113,19010316,    9,    0
105113,19010317,    0,    0
105113,19010318,    2,    0
105113,19010319,   19,    0
105113,19010320,    5,    0
105113,19010321,    0,    0
105113,19010322,    0,    0
105113,19010323,   67,    0
105113,19010324,    0,    0
105113,19010325,   14,    0
105113,19010326,   36,    0
105113,19010327,   83,    0
105113,19010328,   26,    0
105113,19010329,   57,    0
105113,19010330,   95,    0
105113,19010331,    7,    0
105113,19010401,    0,    0
105113,19010402,   75,    0
105113,19010403,   22,    0
105113,19010404,    0,    0
105113,19010405,    0,    0
105113,19010406,   55,    0
105113,19010407,   24,    0
105113,19010408,   76,    0
105113,19010409,   18,    0
105113,19010410,    7,    0
105113,19010411,   66,    0
105113,19010412,    0,    0
105113,19010413,   21,    0
105113,19010414,    0,    0
105113,19010415,   54,    0
105113,19010416,   67,    0
105113,19010417,   15,    0
105113,19010418,  118,    0
105113,19010419,  121,    0
105113,19010420,  123,    0
105113,19010421,  126,    0
105113,19010422,  103,    0
105113,19010423,   90,    0
105113,19010424,  118,    0
105113,19010425,   19,    0
105113,19010426,   45,    0
105113,19010427,   16,    0
105113,19010428,   30,    0
105113,19010429,   37,    0
105113,19010430,   14,    0
105113,19010501,  114,    0
105113,19010502,   62,    0
105113,19010503,   82,    0
105113,19010504,  122,    0
105113,19010505,  102,    0
105113,19010506,    0,    0
105113,19010507,   91,    0
105113,19010508,   82,    0
105113,19010509,   73,    0
105113,19010510,   23,    0
105113,19010511,   34,    0
105113,19010512,   59,    0
105113,19010513,  117,    0
105113,19010514,   90,    0
105113,19010515,  127,    0
105113,19010516,   92,    0
105113,19010517,  107,    0
105113,19010518,  108,    0
105113,19010519,   90,    0
105113,19010520,  127,    0
105113,19010521,  114,    0
105113,19010522,   64,    0
105113,19010523,   56,    0
105113,19010524,   79,    0
105113,19010525,   67,    0
105113,19010526,   82,    0
105113,19010527,  100,    0
105113,19010528,   83,    0
105113,19010529,   89,    0
105113,19010530,   45,    0
105113,19010531,  126,    0
105113,19010601,  118,    0
105113,19010602,  125,    0
105113,19010603,   74,    0
105113,19010604,   73,    0
105113,19010605,  127,    0
105113,19010606,   88,    0
105113,19010607,   87,    0
105113,19010608,   79,    0
105113,19010609,   47,    0
105113,19010610,   88,    0
105113,19010611,   27,    0
105113,19010612,  120,    0
105113,19010613,   67,    0
105113,19010614,   23,    0
105113,19010615,    0,    0
105113,19010616,   45,    0
105113,19010617,   23,    0
105113,19010618,   15,    0
105113,19010619,   47,    0
105113,19010620,  115,    0
105113,19010621,  115,    0
105113,19010622,  127,    0
105113,19010623,  107,    0
105113,19010624,    0,    0
105113,19010625,  126,    0
105113,19010626,  126,    0
105113,19010627,  126,    0
105113,19010628,   67,    0
105113,19010629,   90,    0
105113,19010630,   61,    0
105113,19010701,   40,    0
105113,19010702,    0,    0
105113,19010703,   64,    0
105113,19010704,   21,    0
105113,19010705,  111,    0
105113,19010706,   93,    0
105113,19010707,   70,    0
105113,19010708,   97,    0
105113,19010709,  123,    0
105113,19010710,  119,    0
105113,19010711,  124,    0
105113,19010712,  124,    0
105113,19010713,   87,    0
105113,19010714,   70,    0
105113,19010715,   96,    0
105113,19010716,  125,    0
105113,19010717,  126,    0
105113,19010718,  115,    0
105113,19010719,  122,    0
105113,19010720,  118,    0
105113,19010721,  104,    0
105113,19010722,   77,    0
105113,19010723,   25,    0
105113,19010724,   95,    0
105113,19010725,   83,    0
105113,19010726,  121,    0
105113,19010727,   58,    0
105113,19010728,   35,    0
105113,19010729,   19,    0
105113,19010730,    3,    0
105113,19010731,   22,    0
105113,19010801,    5,    0
105113,19010802,    0,    0
105113,19010803,  113,    0
105113,19010804,  114,    0
105113,19010805,   23,    0
105113,19010806,   36,    0
105113,19010807,   97,    0
105113,19010808,  122,    0
105113,19010809,  125,    0
105113,19010810,  100,    0
105113,19010811,   40,    0
105113,19010812,   26,    0
105113,19010813,  105,    0
105113,19010814,   82,    0
105113,19010815,   34,    0
105113,19010816,   53,    0
105113,19010817,  111,    0
105113,19010818,  117,    0
105113,19010819,  110,    0
105113,19010820,  116,    0
105113,19010821,   56,    0
105113,19010822,   83,    0
105113,19010823,  111,    0
105113,19010824,   96,    0
105113,19010825,   39,    0
105113,19010826,    1,    0
105113,19010827,   86,    0
105113,19010828,   21,    0
105113,19010829,  118,    0
105113,19010830,  116,    0
105113,19010831,  112,    0
105113,19010901,   59,    0
105113,19010902,   30,    0
105113,19010903,   25,    0
105113,19010904,   45,    0
105113,19010905,   89,    0
105113,19010906,    9,    0
105113,19010907,   94,    0
105113,19010908,  108,    0
105113,19010909,  103,    0
105113,19010910,   20,    0
105113,19010911,   67,    0
105113,19010912,   17,    0
105113,19010913,    0,    0
105113,19010914,    0,    0
105113,19010915,   22,    0
105113,19010916,   98,    0
105113,19010917,   10,    0
105113,19010918,   81,    0
105113,19010919,  102,    0
105113,19010920,   46,    0
105113,19010921,   42,    0
105113,19010922,   50,    0
105113,19010923,   18,    0
105113,19010924,    0,    0
105113,19010925,    0,    0
105113,19010926,    0,    0
105113,19010927,   69,    0
105113,19010928,   48,    0
105113,19010929,   52,    0
105113,19010930,   88,    0
105113,19011001,    0,    0
105113,19011002,    0,    0
105113,19011003,    2,    0
105113,19011004,    0,    0
105113,19011005,   67,    0
105113,19011006,   51,    0
105113,19011007,   21,    0
105113,19011008,   16,    0
105113,19011009,    0,    0
105113,19011010,   83,    0
105113,19011011,   87,    0
105113,19011012,   60,    0
105113,19011013,   10,    0
105113,19011014,   21,    0
105113,19011015,    0,    0
105113,19011016,   32,    0
105113,19011017,    0,    0
105113,19011018,   40,    0
105113,19011019,   11,    0
105113,19011020,    0,    0
105113,19011021,   24,    0
105113,19011022,    0,    0
105113,19011023,    0,    0
105113,19011024,   70,    0
105113,19011025,   81,    0
105113,19011026,    5,    0
105113,19011027,    0,    0
105113,19011028,   82,    0
105113,19011029,    8,    0
105113,19011030,    0,    0
105113,19011031,    0,    0
105113,19011101,    0,    0
105113,19011102,   30,    0
105113,19011103,    0,    0
105113,19011104,    0,    0
105113,19011105,   12,    0
105113,19011106,    3,    0
105113,19011107,   16,    0
105113,19011108,   57,    0
105113,19011109,    0,    0
105113,19011110,   53,    0
105113,19011111,    0,    0
105113,19011112,   56,    0
105113,19011113,   49,    0
105113,19011114,    8,    0
105113,19011115,    0,    0
105113,19011116,    0,    0
105113,19011117,    0,    0
105113,19011118,   22,    0
105113,19011119,   64,    0
105113,19011120,   68,    0
105113,19011121,   58,    0
105113,19011122,    0,    0
105113,19011123,    0,    0
105113,19011124,    0,    0
105113,19011125,    0,    0
105113,19011126,    0,    0
105113,19011127,    0,    0
105113,19011128,   44,    0
105113,19011129,   73,    0
105113,19011130,   60,    0
105113,19011201,   56,    0
105113,19011202,   59,    0
105113,19011203,    0,    0
105113,19011204,   43,    0
105113,19011205,    5,    0
105113,19011206,    0,    0
105113,19011207,    0,    0
105113,19011208,    0,    0
105113,19011209,    0,    0
105113,19011210,   14,    0
105113,19011211,   10,    0
105113,19011212,   17,    0
105113,19011213,    0,    0
105113,19011214,    3,    0
105113,19011215,    1,    0
105113,19011216,   35,    0
105113,19011217,    0,    0
105113,19011218,   40,    0
105113,19011219,    0,    0
105113,19011220,    6,    0
105113,19011221,    0,    0
105113,19011222,    0,    0
105113,19011223,    0,    0
105113,19011224,    0,    0
105113,19011225,    1,    0
105113,19011226,   36,    0
105113,19011227,    0,    0
105113,19011228,   30,    0
105113,19011229,    6,    0
105113,19011230,    1,    0
105113,19011231,   55,    0
105113,19020101,   32,    0
105113,19020102,    0,    0
105113,19020103,   48,    0
105113,19020104,   64,    0
105113,19020105,    0,    0
105113,19020106,   75,    0
105113,19020107,   71,    0
105113,19020108,   17,    0
105113,19020109,    0,    0
105113,19020110,    0,    0
105113,19020111,    0,    0
105113,19020112,    0,    0
105113,19020113,   28,    0
105113,19020114,    0,    0
105113,19020115,   34,    0
105113,19020116,    0,    0
105113,19020117,   33,    0
105113,19020118,    0,    0
105113,19020119,    0,    0
105113,19020120,    0,    0
105113,19020121,   35,    0
105113,19020122,    0,    0
105113,19020123,   26,    0
105113,19020124,   59,    0
105113,19020125,    0,    0
105113,19020126,   29,    0
105113,19020127,    0,    0
105113,19020128,    2,    0
105113,19020129,   11,    0
105113,19020130,   16,    0
105113,19020131,    0,    0
105113,19020201,    0,    0
105113,19020202,    0,    0
105113,19020203,    0,    0
105113,19020204,   10,    0
105113,19020205,   35,    0
105113,19020206,    0,    0
105113,19020207,    0,    0
105113,19020208,    0,    0
105113,19020209,    3,    0
105113,19020210,   79,    0
105113,19020211,    0,    0
105113,19020212,    3,    0
105113,19020213,    0,    0
105113,19020214,    0,    0
105113,19020215,    0,    0
105113,19020216,    0,    0
105113,19020217,   37,    0
105113,19020218,    0,    0
105113,19020219,    9,    0
105113,19020220,   39,    0
105113,19020221,   48,    0
105113,19020222,   39,    0
105113,19020223,   71,    0
105113,19020224,    0,    0
105113,19020225,    3,    0
105113,19020226,   26,    0
105113,19020227,    0,    0
105113,19020228,    0,    0
105113,19020301,    3,    0
105113,19020302,    6,    0
105113,19020303,   29,    0
105113,19020304,    0,    0
105113,19020305,   87,    0
105113,19020306,   90,    0
105113,19020307,   90,    0
105113,19020308,   72,    0
105113,19020309,    0,    0
105113,19020310,    0,    0
105113,19020311,   79,    0
105113,19020312,   64,    0
105113,19020313,   76,    0
105113,19020314,   82,    0
105113,19020315,    0,    0
105113,19020316,    7,    0
105113,19020317,   89,    0
105113,19020318,  102,    0
105113,19020319,  101,    0
105113,19020320,   89,    0
105113,19020321,   26,    0
105113,19020322,    0,    0
105113,19020323,   33,    0
105113,19020324,   48,    0
105113,19020325,   21,    0
105113,19020326,   41,    0
105113,19020327,    0,    0
105113,19020328,   45,    0
105113,19020329,    0,    0
105113,19020330,    0,    0
105113,19020331,   10,    0
105113,19020401,   98,    0
105113,19020402,    0,    0
105113,19020403,   26,    0
105113,19020404,   78,    0
105113,19020405,  107,    0
105113,19020406,   65,    0
105113,19020407,  108,    0
105113,19020408,   77,    0
105113,19020409,   13,    0
105113,19020410,    0,    0
105113,19020411,   24,    0
105113,19020412,   71,    0
105113,19020413,   49,    0
105113,19020414,   52,    0
105113,19020415,   72,    0
105113,19020416,   32,    0
105113,19020417,    0,    0
105113,19020418,    5,    0
105113,19020419,   76,    0
105113,19020420,   56,    0
105113,19020421,  115,    0
105113,19020422,   99,    0
105113,19020423,    0,    0
105113,19020424,   63,    0
105113,19020425,  102,    0
105113,19020426,   28,    0
105113,19020427,   97,    0
105113,19020428,    0,    0
105113,19020429,   30,    0
105113,19020430,  112,    0
105113,19020501,    0,    0
105113,19020502,   19,    0
105113,19020503,   13,    0
105113,19020504,    0,    0
105113,19020505,   44,    0
105113,19020506,   33,    0
105113,19020507,   35,    0
105113,19020508,    0,    0
105113,19020509,    0,    0
105113,19020510,   13,    0
105113,19020511,    7,    0
105113,19020512,   57,    0
105113,19020513,   44,    0
105113,19020514,   19,    0
105113,19020515,   70,    0
105113,19020516,   18,    0
105113,19020517,    0,    0
105113,19020518,   43,    0
105113,19020519,   17,    0
105113,19020520,   58,    0
105113,19020521,  126,    0
105113,19020522,   25,    0
105113,19020523,   96,    0
105113,19020524,   13,    0
105113,19020525,  107,    0
105113,19020526,   78,    0
105113,19020527,  129,    0
105113,19020528,  129,    0
105113,19020529,  116,    0
105113,19020530,   32,    0
105113,19020531,   16,    0
105113,19020601,  104,    0
105113,19020602,  130,    0
105113,19020603,   97,    0
105113,19020604,   77,    0
105113,19020605,   11,    0
105113,19020606,  117,    0
105113,19020607,    0,    0
105113,19020608,   59,    0
105113,19020609,   43,    0
105113,19020610,    0,    0
105113,19020611,    5,    0
105113,19020612,  118,    0
105113,19020613,   29,    0
105113,19020614,   30,    0
105113,19020615,   45,    0
105113,19020616,   40,    0
105113,19020617,   55,    0
105113,19020618,   86,    0
105113,19020619,  128,    0
