EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105109 105114 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105109,19010101,    7,    0
105109,19010102,    8,    0
105109,19010103,    3,    0
105109,19010104,    5,    0
105109,19010105,    6,    0
105109,19010106,    5,    0
105109,19010107,    8,    0
105109,19010108,    6,    0
105109,19010109,    8,    0
105109,19010110,    3,    0
105109,19010111,    5,    0
105109,19010112,    3,    0
105109,19010113,    8,    0
105109,19010114,    8,    0
105109,19010115,    8,    0
105109,19010116,    8,    0
105109,19010117,    8,    0
105109,19010118,    8,    0
105109,19010119,    8,    0
105109,19010120,    6,    0
105109,19010121,    6,    0
105109,19010122,    8,    0
105109,19010123,    8,    0
105109,19010124,    7,    0
105109,19010125,    7,    0
105109,19010126,    8,    0
105109,19010127,    8,    0
105109,19010128,    8,    0
105109,19010129,    7,    0
105109,19010130,    7,    0
105109,19010131,    2,    0
105109,19010201,    8,    0
105109,19010202,    7,    0
105109,19010203,    7,    0
105109,19010204,    8,    0
105109,19010205,    8,    0
105109,19010206,    8,    0
105109,19010207,    8,    0
105109,19010208,    7,    0
105109,19010209,    8,    0
105109,19010210,    2,    0
105109,19010211,    3,    0
105109,19010212,    0,    0
105109,19010213,    7,    0
105109,19010214,    3,    0
105109,19010215,    4,    0
105109,19010216,    3,    0
105109,19010217,    8,    0
105109,19010218,    6,    0
105109,19010219,    3,    0
105109,19010220,    5,    0
105109,19010221,    3,    0
105109,19010222,    4,    0
105109,19010223,    1,    0
105109,19010224,    3,    0
105109,19010225,    2,    0
105109,19010226,    1,    0
105109,19010227,    7,    0
105109,19010228,    5,    0
105109,19010301,    8,    0
105109,19010302,    8,    0
105109,19010303,    8,    0
105109,19010304,    8,    0
105109,19010305,    8,    0
105109,19010306,    4,    0
105109,19010307,    7,    0
105109,19010308,    1,    0
105109,19010309,    7,    0
105109,19010310,    7,    0
105109,19010311,    7,    0
105109,19010312,    8,    0
105109,19010313,    8,    0
105109,19010314,    7,    0
105109,19010315,    8,    0
105109,19010316,    6,    0
105109,19010317,    8,    0
105109,19010318,    8,    0
105109,19010319,    5,    0
105109,19010320,    8,    0
105109,19010321,    8,    0
105109,19010322,    6,    0
105109,19010323,    6,    0
105109,19010324,    7,    0
105109,19010325,    8,    0
105109,19010326,    8,    0
