EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105115 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
105115,19810101,10325,    0
105115,19810102,10314,    0
105115,19810103,10217,    0
105115,19810104,10123,    0
105115,19810105,10256,    0
105115,19810106,10218,    0
105115,19810107,10307,    0
105115,19810108,10369,    0
105115,19810109,10331,    0
105115,19810110,10182,    0
105115,19810111,10208,    0
105115,19810112,10187,    0
105115,19810113,10131,    0
105115,19810114,10192,    0
105115,19810115,10034,    0
105115,19810116,10160,    0
105115,19810117,10122,    0
105115,19810118,10198,    0
105115,19810119,10201,    0
105115,19810120,10154,    0
105115,19810121,10293,    0
105115,19810122,10312,    0
105115,19810123,10331,    0
105115,19810124,10308,    0
105115,19810125,10308,    0
105115,19810126,10335,    0
105115,19810127,10392,    0
105115,19810128,10383,    0
105115,19810129,10381,    0
105115,19810130,10388,    0
105115,19810131,10402,    0
105115,19810201,10421,    0
105115,19810202,10403,    0
105115,19810203,10248,    0
105115,19810204,10050,    0
105115,19810205,10155,    0
105115,19810206,10272,    0
105115,19810207,10329,    0
105115,19810208,10304,    0
105115,19810209,10206,    0
105115,19810210,10227,    0
105115,19810211,10246,    0
105115,19810212,10181,    0
105115,19810213,10206,    0
105115,19810214,10241,    0
105115,19810215,10232,    0
105115,19810216,10222,    0
105115,19810217,10223,    0
105115,19810218,10164,    0
105115,19810219,10147,    0
105115,19810220,10174,    0
105115,19810221,10208,    0
105115,19810222,10165,    0
105115,19810223,10165,    0
105115,19810224,10185,    0
105115,19810225,10239,    0
105115,19810226,10237,    0
105115,19810227,10178,    0
105115,19810228,10139,    0
105115,19810301,10162,    0
105115,19810302,10123,    0
105115,19810303,10054,    0
105115,19810304,10128,    0
105115,19810305,10167,    0
105115,19810306,10182,    0
105115,19810307,10224,    0
105115,19810308,10227,    0
105115,19810309,10252,    0
105115,19810310,10227,    0
105115,19810311,10154,    0
105115,19810312,10098,    0
105115,19810313,10104,    0
105115,19810314,10114,    0
105115,19810315,10128,    0
105115,19810316,10151,    0
105115,19810317,10138,    0
105115,19810318,10148,    0
105115,19810319,10153,    0
105115,19810320,10122,    0
105115,19810321,10132,    0
105115,19810322,10105,    0
105115,19810323,10144,    0
105115,19810324,10169,    0
105115,19810325,10153,    0
105115,19810326,10167,    0
105115,19810327,10148,    0
105115,19810328,10088,    0
105115,19810329,10044,    0
105115,19810330,10116,    0
105115,19810331,10098,    0
105115,19810401,10117,    0
105115,19810402,10145,    0
105115,19810403,10179,    0
105115,19810404,10190,    0
105115,19810405,10166,    0
105115,19810406,10179,    0
105115,19810407,10218,    0
105115,19810408,10222,    0
105115,19810409,10223,    0
105115,19810410,10190,    0
105115,19810411,10158,    0
105115,19810412,10179,    0
105115,19810413,10204,    0
105115,19810414,10198,    0
105115,19810415,10189,    0
105115,19810416,10122,    0
105115,19810417,10106,    0
105115,19810418,10151,    0
105115,19810419,10163,    0
105115,19810420,10167,    0
105115,19810421,10201,    0
105115,19810422,10154,    0
105115,19810423,10096,    0
105115,19810424,10080,    0
105115,19810425,10076,    0
105115,19810426,10085,    0
105115,19810427,10127,    0
105115,19810428,10200,    0
105115,19810429,10215,    0
105115,19810430,10158,    0
105115,19810501,10096,    0
105115,19810502,10086,    0
105115,19810503,10102,    0
105115,19810504,10037,    0
105115,19810505,10115,    0
105115,19810506,10184,    0
