EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105117 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
105117,19650101,    6,    0
105117,19650102,    0,    0
105117,19650103,    0,    0
105117,19650104,    0,    0
105117,19650105,    0,    0
105117,19650106,    0,    0
105117,19650107,    0,    0
105117,19650108,    0,    0
105117,19650109,    0,    0
105117,19650110,    0,    0
105117,19650111,    0,    0
105117,19650112,    0,    0
105117,19650113,    0,    0
105117,19650114,    0,    0
105117,19650115,    0,    0
105117,19650116,    7,    0
105117,19650117,    6,    0
105117,19650118,    0,    0
105117,19650119,   14,    0
105117,19650120,   10,    0
105117,19650121,   21,    0
105117,19650122,   15,    0
105117,19650123,    9,    0
105117,19650124,    8,    0
105117,19650125,    7,    0
105117,19650126,    6,    0
105117,19650127,    6,    0
105117,19650128,   10,    0
105117,19650129,    8,    0
105117,19650130,    7,    0
105117,19650131,    5,    0
105117,19650201,    0,    0
105117,19650202,    0,    0
105117,19650203,    0,    0
105117,19650204,    0,    0
105117,19650205,    0,    0
105117,19650206,    0,    0
105117,19650207,    0,    0
105117,19650208,    0,    0
105117,19650209,    0,    0
105117,19650210,    0,    0
105117,19650211,    0,    0
105117,19650212,    0,    0
105117,19650213,    0,    0
105117,19650214,    2,    0
105117,19650215,    0,    0
105117,19650216,    6,    0
105117,19650217,    0,    0
105117,19650218,    0,    0
105117,19650219,    0,    0
105117,19650220,    0,    0
105117,19650221,    0,    0
105117,19650222,    0,    0
105117,19650223,    0,    0
105117,19650224,    0,    0
105117,19650225,    0,    0
105117,19650226,    0,    0
105117,19650227,    0,    0
105117,19650228,    0,    0
105117,19650301,    0,    0
105117,19650302,   15,    0
105117,19650303,   13,    0
105117,19650304,   12,    0
105117,19650305,   14,    0
105117,19650306,   13,    0
105117,19650307,   11,    0
105117,19650308,   11,    0
105117,19650309,   11,    0
105117,19650310,   10,    0
105117,19650311,    9,    0
105117,19650312,    8,    0
105117,19650313,    7,    0
105117,19650314,    4,    0
105117,19650315,    0,    0
105117,19650316,    0,    0
105117,19650317,    0,    0
105117,19650318,    0,    0
105117,19650319,    0,    0
105117,19650320,    0,    0
105117,19650321,    0,    0
105117,19650322,    0,    0
105117,19650323,    0,    0
105117,19650324,    0,    0
105117,19650325,    0,    0
105117,19650326,    0,    0
105117,19650327,    0,    0
105117,19650328,    0,    0
105117,19650329,    0,    0
105117,19650330,    0,    0
105117,19650331,    0,    0
105117,19650401,    0,    0
105117,19650402,    0,    0
105117,19650403,    0,    0
105117,19650404,    0,    0
105117,19650405,    0,    0
105117,19650406,    0,    0
105117,19650407,    0,    0
105117,19650408,    0,    0
105117,19650409,    0,    0
