EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 100740 100744 119280 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100744,19010101,   29,    0
100744,19010102,   -6,    0
100744,19010103,  -36,    0
100744,19010104,  -60,    0
100744,19010105,  -92,    0
100744,19010106,  -93,    0
100744,19010107,  -90,    0
100744,19010108,  -54,    0
100744,19010109,  -61,    0
100744,19010110,  -22,    0
100744,19010111,  -37,    0
100744,19010112,   -7,    0
100744,19010113,   -7,    0
100744,19010114,  -18,    0
100744,19010115,  -34,    0
100744,19010116,  -49,    0
100744,19010117,  -45,    0
100744,19010118,  -59,    0
100744,19010119,  -61,    0
100744,19010120,  -42,    0
100744,19010121,    8,    0
100744,19010122,  -16,    0
100744,19010123,  -17,    0
100744,19010124,    0,    0
100744,19010125,    5,    0
100744,19010126,   20,    0
100744,19010127,   22,    0
100744,19010128,   27,    0
100744,19010129,   -1,    0
100744,19010130,  -35,    0
100744,19010131,  -51,    0
100744,19010201,  -33,    0
100744,19010202,  -17,    0
100744,19010203,  -22,    0
100744,19010204,  -20,    0
100744,19010205,    0,    0
100744,19010206,   -9,    0
100744,19010207,  -33,    0
100744,19010208,  -10,    0
100744,19010209,  -27,    0
100744,19010210,  -35,    0
100744,19010211,  -65,    0
100744,19010212,  -70,    0
100744,19010213,  -95,    0
100744,19010214,  -80,    0
100744,19010215,  -97,    0
100744,19010216, -101,    0
100744,19010217,  -54,    0
100744,19010218,  -45,    0
100744,19010219,  -90,    0
100744,19010220, -138,    0
100744,19010221, -103,    0
100744,19010222, -130,    0
100744,19010223, -140,    0
100744,19010224, -111,    0
100744,19010225,  -69,    0
100744,19010226,  -71,    0
100744,19010227,  -39,    0
100744,19010228,   36,    0
100744,19010301,   41,    0
100744,19010302,   45,    0
100744,19010303,   19,    0
100744,19010304,   12,    0
100744,19010305,   16,    0
100744,19010306,   16,    0
100744,19010307,    9,    0
100744,19010308,  -17,    0
100744,19010309,  -12,    0
100744,19010310,    8,    0
100744,19010311,    1,    0
100744,19010312,    5,    0
100744,19010313,  -10,    0
100744,19010314,   -7,    0
100744,19010315,    7,    0
100744,19010316,   50,    0
100744,19010317,   30,    0
100744,19010318,   27,    0
100744,19010319,   40,    0
100744,19010320,   17,    0
100744,19010321,   14,    0
100744,19010322,   -9,    0
100744,19010323,  -24,    0
100744,19010324,  -23,    0
100744,19010325,  -28,    0
100744,19010326,  -26,    0
100744,19010327,  -48,    0
100744,19010328,  -34,    0
100744,19010329,  -61,    0
100744,19010330,  -52,    0
100744,19010331,   50,    0
100744,19010401,   75,    0
100744,19010402,   57,    0
100744,19010403,   69,    0
100744,19010404,   67,    0
100744,19010405,   97,    0
100744,19010406,  117,    0
100744,19010407,   80,    0
100744,19010408,   83,    0
100744,19010409,   93,    0
100744,19010410,   66,    0
100744,19010411,   60,    0
100744,19010412,   40,    0
100744,19010413,   40,    0
100744,19010414,   20,    0
100744,19010415,   91,    0
100744,19010416,   45,    0
100744,19010417,   -1,    0
100744,19010418,  -15,    0
100744,19010419,  -10,    0
100744,19010420,    4,    0
100744,19010421,   29,    0
100744,19010422,   50,    0
100744,19010423,   87,    0
100744,19010424,   81,    0
100744,19010425,   75,    0
100744,19010426,   92,    0
100744,19010427,   63,    0
100744,19010428,   59,    0
100744,19010429,   38,    0
100744,19010430,   39,    0
100744,19010501,   30,    0
100744,19010502,   20,    0
100744,19010503,   48,    0
100744,19010504,   50,    0
100744,19010505,   49,    0
100744,19010506,   73,    0
100744,19010507,   60,    0
100744,19010508,   56,    0
100744,19010509,   58,    0
100744,19010510,   58,    0
100744,19010511,   49,    0
100744,19010512,   90,    0
100744,19010513,   77,    0
100744,19010514,  107,    0
100744,19010515,   75,    0
100744,19010516,   72,    0
100744,19010517,   53,    0
100744,19010518,   53,    0
100744,19010519,   98,    0
100744,19010520,   77,    0
100744,19010521,   79,    0
100744,19010522,  110,    0
100744,19010523,  119,    0
100744,19010524,  117,    0
100744,19010525,  103,    0
100744,19010526,  108,    0
100744,19010527,  113,    0
100744,19010528,  115,    0
100744,19010529,  118,    0
100744,19010530,  147,    0
100744,19010531,  139,    0
100744,19010601,  172,    0
100744,19010602,  172,    0
100744,19010603,  168,    0
100744,19010604,  160,    0
100744,19010605,  128,    0
100744,19010606,  125,    0
100744,19010607,  148,    0
100744,19010608,  131,    0
100744,19010609,  147,    0
100744,19010610,  147,    0
100744,19010611,  140,    0
100744,19010612,  110,    0
100744,19010613,  125,    0
100744,19010614,  125,    0
100744,19010615,   95,    0
100744,19010616,   80,    0
100744,19010617,   87,    0
100744,19010618,   64,    0
100744,19010619,   60,    0
100744,19010620,   90,    0
100744,19010621,   92,    0
100744,19010622,  118,    0
100744,19010623,  128,    0
100744,19010624,  164,    0
100744,19010625,  120,    0
100744,19010626,  102,    0
100744,19010627,  107,    0
100744,19010628,  127,    0
100744,19010629,  131,    0
100744,19010630,  172,    0
100744,19010701,  143,    0
100744,19010702,  105,    0
100744,19010703,   96,    0
100744,19010704,  119,    0
100744,19010705,  129,    0
100744,19010706,  127,    0
100744,19010707,  119,    0
100744,19010708,  121,    0
100744,19010709,  127,    0
100744,19010710,  145,    0
100744,19010711,  149,    0
100744,19010712,  135,    0
