EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105111 105116 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105111,19010101,   77,    0
105111,19010102,   84,    0
105111,19010103,   72,    0
105111,19010104,   85,    0
105111,19010105,   89,    0
105111,19010106,   84,    0
105111,19010107,   86,    0
105111,19010108,   86,    0
105111,19010109,   81,    0
105111,19010110,   84,    0
105111,19010111,   81,    0
105111,19010112,   81,    0
105111,19010113,   78,    0
105111,19010114,   81,    0
105111,19010115,   87,    0
105111,19010116,   94,    0
105111,19010117,   91,    0
105111,19010118,   94,    0
105111,19010119,  100,    0
105111,19010120,   65,    0
105111,19010121,   80,    0
105111,19010122,   99,    0
105111,19010123,   94,    0
105111,19010124,   92,    0
105111,19010125,   81,    0
105111,19010126,   78,    0
105111,19010127,   82,    0
105111,19010128,   76,    0
105111,19010129,   73,    0
105111,19010130,   85,    0
105111,19010131,   76,    0
105111,19010201,   88,    0
105111,19010202,   86,    0
105111,19010203,   85,    0
105111,19010204,   87,    0
105111,19010205,   66,    0
105111,19010206,   82,    0
105111,19010207,   86,    0
105111,19010208,   84,    0
105111,19010209,   80,    0
105111,19010210,   88,    0
105111,19010211,   81,    0
105111,19010212,   79,    0
105111,19010213,   76,    0
105111,19010214,   88,    0
105111,19010215,   77,    0
105111,19010216,   79,    0
105111,19010217,   91,    0
105111,19010218,   81,    0
105111,19010219,   78,    0
105111,19010220,   81,    0
105111,19010221,   85,    0
105111,19010222,   82,    0
105111,19010223,   84,    0
105111,19010224,   84,    0
105111,19010225,   77,    0
105111,19010226,   80,    0
105111,19010227,   68,    0
105111,19010228,   68,    0
105111,19010301,   73,    0
105111,19010302,   65,    0
105111,19010303,   86,    0
105111,19010304,   81,    0
105111,19010305,   82,    0
105111,19010306,   60,    0
105111,19010307,   68,    0
105111,19010308,   63,    0
105111,19010309,   71,    0
105111,19010310,   80,    0
105111,19010311,   72,    0
105111,19010312,   75,    0
105111,19010313,   85,    0
105111,19010314,   82,    0
105111,19010315,   76,    0
105111,19010316,   59,    0
105111,19010317,   77,    0
105111,19010318,   89,    0
105111,19010319,   74,    0
105111,19010320,   83,    0
105111,19010321,   78,    0
105111,19010322,   82,    0
105111,19010323,   76,    0
105111,19010324,   79,    0
105111,19010325,   65,    0
105111,19010326,   71,    0
105111,19010327,   75,    0
105111,19010328,   84,    0
105111,19010329,   80,    0
105111,19010330,   54,    0
105111,19010331,   44,    0
105111,19010401,   86,    0
105111,19010402,   78,    0
105111,19010403,   70,    0
105111,19010404,   73,    0
105111,19010405,   83,    0
105111,19010406,   64,    0
105111,19010407,   80,    0
105111,19010408,   82,    0
105111,19010409,   73,    0
105111,19010410,   80,    0
105111,19010411,   50,    0
105111,19010412,   83,    0
105111,19010413,   65,    0
105111,19010414,   79,    0
105111,19010415,   71,    0
105111,19010416,   62,    0
105111,19010417,   84,    0
105111,19010418,   61,    0
105111,19010419,   65,    0
105111,19010420,   61,    0
105111,19010421,   61,    0
105111,19010422,   59,    0
105111,19010423,   56,    0
105111,19010424,   51,    0
105111,19010425,   68,    0
105111,19010426,   76,    0
105111,19010427,   89,    0
105111,19010428,   74,    0
105111,19010429,   76,    0
105111,19010430,   74,    0
105111,19010501,   61,    0
105111,19010502,   63,    0
105111,19010503,   71,    0
105111,19010504,   54,    0
105111,19010505,   55,    0
105111,19010506,   66,    0
105111,19010507,   57,    0
105111,19010508,   65,    0
105111,19010509,   51,    0
105111,19010510,   76,    0
105111,19010511,   67,    0
105111,19010512,   74,    0
105111,19010513,   66,    0
105111,19010514,   64,    0
105111,19010515,   56,    0
105111,19010516,   47,    0
105111,19010517,   65,    0
105111,19010518,   66,    0
105111,19010519,   62,    0
105111,19010520,   57,    0
105111,19010521,   54,    0
105111,19010522,   61,    0
105111,19010523,   67,    0
105111,19010524,   61,    0
105111,19010525,   64,    0
105111,19010526,   75,    0
105111,19010527,   72,    0
105111,19010528,   69,    0
105111,19010529,   61,    0
105111,19010530,   59,    0
105111,19010531,   64,    0
105111,19010601,   56,    0
105111,19010602,   58,    0
105111,19010603,   70,    0
105111,19010604,   71,    0
105111,19010605,   65,    0
105111,19010606,   56,    0
105111,19010607,   57,    0
105111,19010608,   71,    0
105111,19010609,   67,    0
105111,19010610,   66,    0
105111,19010611,   62,    0
105111,19010612,   49,    0
105111,19010613,   51,    0
105111,19010614,   74,    0
105111,19010615,   92,    0
105111,19010616,   72,    0
105111,19010617,   71,    0
105111,19010618,   74,    0
105111,19010619,   69,    0
105111,19010620,   68,    0
105111,19010621,   66,    0
105111,19010622,   66,    0
105111,19010623,   61,    0
105111,19010624,   75,    0
105111,19010625,   60,    0
105111,19010626,   64,    0
105111,19010627,   63,    0
105111,19010628,   67,    0
105111,19010629,   70,    0
105111,19010630,   74,    0
105111,19010701,   74,    0
105111,19010702,   81,    0
105111,19010703,   65,    0
105111,19010704,   81,    0
105111,19010705,   68,    0
105111,19010706,   72,    0
105111,19010707,   73,    0
105111,19010708,   72,    0
105111,19010709,   68,    0
105111,19010710,   60,    0
105111,19010711,   53,    0
105111,19010712,   56,    0
105111,19010713,   58,    0
105111,19010714,   61,    0
105111,19010715,   67,    0
105111,19010716,   59,    0
105111,19010717,   58,    0
105111,19010718,   61,    0
105111,19010719,   59,    0
105111,19010720,   52,    0
105111,19010721,   48,    0
105111,19010722,   71,    0
105111,19010723,   59,    0
105111,19010724,   47,    0
105111,19010725,   66,    0
105111,19010726,   55,    0
105111,19010727,   71,    0
105111,19010728,   86,    0
105111,19010729,   85,    0
105111,19010730,   85,    0
105111,19010731,   84,    0
105111,19010801,   86,    0
105111,19010802,   93,    0
105111,19010803,   76,    0
105111,19010804,   77,    0
105111,19010805,   67,    0
105111,19010806,   64,    0
105111,19010807,   65,    0
105111,19010808,   68,    0
105111,19010809,   73,    0
105111,19010810,   61,    0
105111,19010811,   77,    0
105111,19010812,   86,    0
105111,19010813,   78,    0
105111,19010814,   74,    0
105111,19010815,   72,    0
105111,19010816,   79,    0
105111,19010817,   75,    0
105111,19010818,   83,    0
105111,19010819,   80,    0
105111,19010820,   73,    0
105111,19010821,   72,    0
105111,19010822,   69,    0
105111,19010823,   77,    0
105111,19010824,   79,    0
105111,19010825,   83,    0
105111,19010826,   81,    0
105111,19010827,   65,    0
105111,19010828,   87,    0
105111,19010829,   64,    0
105111,19010830,   79,    0
105111,19010831,   72,    0
105111,19010901,   83,    0
105111,19010902,   85,    0
105111,19010903,   83,    0
105111,19010904,   83,    0
105111,19010905,   73,    0
105111,19010906,   84,    0
105111,19010907,   78,    0
105111,19010908,   85,    0
105111,19010909,   82,    0
105111,19010910,   87,    0
105111,19010911,   85,    0
105111,19010912,   82,    0
105111,19010913,   93,    0
105111,19010914,   77,    0
105111,19010915,   79,    0
105111,19010916,   79,    0
105111,19010917,   80,    0
105111,19010918,   72,    0
105111,19010919,   82,    0
105111,19010920,   86,    0
105111,19010921,   83,    0
105111,19010922,   80,    0
105111,19010923,   88,    0
105111,19010924,   94,    0
105111,19010925,   94,    0
105111,19010926,   93,    0
105111,19010927,   84,    0
105111,19010928,   86,    0
105111,19010929,   92,    0
105111,19010930,   84,    0
105111,19011001,   94,    0
105111,19011002,   91,    0
105111,19011003,   87,    0
105111,19011004,   90,    0
105111,19011005,   71,    0
105111,19011006,   66,    0
105111,19011007,   73,    0
105111,19011008,   72,    0
105111,19011009,   80,    0
105111,19011010,   72,    0
105111,19011011,   81,    0
105111,19011012,   88,    0
105111,19011013,   84,    0
105111,19011014,   84,    0
105111,19011015,   88,    0
105111,19011016,   88,    0
105111,19011017,   97,    0
105111,19011018,   92,    0
105111,19011019,   92,    0
105111,19011020,   91,    0
105111,19011021,   81,    0
105111,19011022,   93,    0
105111,19011023,   88,    0
105111,19011024,   86,    0
105111,19011025,   88,    0
105111,19011026,   84,    0
105111,19011027,   72,    0
105111,19011028,   78,    0
105111,19011029,   93,    0
105111,19011030,   81,    0
105111,19011031,   78,    0
105111,19011101,   76,    0
105111,19011102,   76,    0
105111,19011103,   83,    0
105111,19011104,   79,    0
105111,19011105,   81,    0
105111,19011106,   83,    0
105111,19011107,   87,    0
105111,19011108,   92,    0
105111,19011109,   80,    0
105111,19011110,   70,    0
105111,19011111,   87,    0
105111,19011112,   69,    0
105111,19011113,   52,    0
105111,19011114,   72,    0
105111,19011115,   81,    0
105111,19011116,   95,    0
105111,19011117,   76,    0
105111,19011118,   72,    0
105111,19011119,   70,    0
105111,19011120,   80,    0
105111,19011121,   81,    0
105111,19011122,   85,    0
105111,19011123,   76,    0
105111,19011124,   83,    0
105111,19011125,   81,    0
105111,19011126,   83,    0
105111,19011127,   79,    0
105111,19011128,   82,    0
105111,19011129,   68,    0
105111,19011130,   82,    0
105111,19011201,   83,    0
105111,19011202,   83,    0
105111,19011203,   89,    0
105111,19011204,   75,    0
105111,19011205,   82,    0
105111,19011206,   88,    0
105111,19011207,   85,    0
105111,19011208,   72,    0
105111,19011209,   76,    0
105111,19011210,   78,    0
105111,19011211,   85,    0
105111,19011212,   91,    0
105111,19011213,   89,    0
105111,19011214,   76,    0
105111,19011215,   78,    0
105111,19011216,   82,    0
105111,19011217,   89,    0
105111,19011218,   85,    0
105111,19011219,   87,    0
105111,19011220,   86,    0
105111,19011221,   87,    0
105111,19011222,   77,    0
105111,19011223,   73,    0
105111,19011224,   86,    0
105111,19011225,   78,    0
105111,19011226,   71,    0
105111,19011227,   90,    0
105111,19011228,   85,    0
105111,19011229,   92,    0
105111,19011230,   84,    0
105111,19011231,   88,    0
105111,19020101,   76,    0
105111,19020102,   79,    0
105111,19020103,   79,    0
105111,19020104,   88,    0
105111,19020105,   74,    0
105111,19020106,   78,    0
105111,19020107,   83,    0
105111,19020108,   92,    0
105111,19020109,  100,    0
105111,19020110,   99,    0
105111,19020111,   98,    0
105111,19020112,   98,    0
105111,19020113,   93,    0
105111,19020114,   90,    0
105111,19020115,   85,    0
105111,19020116,   84,    0
105111,19020117,   86,    0
