EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 100743 100747 119279 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100747,19010101,    0,    0
100747,19010102,    0,    0
100747,19010103,    0,    0
100747,19010104,    0,    0
100747,19010105,    0,    0
100747,19010106,    0,    0
100747,19010107,    0,    0
100747,19010108,    0,    0
100747,19010109,    1,    0
100747,19010110,    0,    0
100747,19010111,    0,    0
100747,19010112,    0,    0
100747,19010113,    0,    0
100747,19010114,    0,    0
100747,19010115,    0,    0
100747,19010116,    0,    0
100747,19010117,    0,    0
100747,19010118,    0,    0
100747,19010119,    0,    0
100747,19010120,   12,    0
100747,19010121,    0,    0
100747,19010122,    0,    0
100747,19010123,    0,    0
100747,19010124,    0,    0
100747,19010125,    2,    0
100747,19010126,   60,    0
100747,19010127,  141,    0
100747,19010128,  121,    0
100747,19010129,   50,    0
100747,19010130,    2,    0
100747,19010131,    0,    0
100747,19010201,   94,    0
100747,19010202,    0,    0
100747,19010203,   18,    0
100747,19010204,   21,    0
100747,19010205,   21,    0
100747,19010206,    6,    0
100747,19010207,    0,    0
100747,19010208,    0,    0
100747,19010209,    0,    0
100747,19010210,    0,    0
100747,19010211,    0,    0
100747,19010212,    0,    0
100747,19010213,    1,    0
100747,19010214,    0,    0
100747,19010215,    0,    0
100747,19010216,   25,    0
100747,19010217,    7,    0
100747,19010218,    0,    0
100747,19010219,    0,    0
100747,19010220,    0,    0
100747,19010221,    0,    0
100747,19010222,    0,    0
100747,19010223,    0,    0
100747,19010224,    0,    0
100747,19010225,    0,    0
100747,19010226,    0,    0
100747,19010227,    1,    0
100747,19010228,  106,    0
100747,19010301,   13,    0
100747,19010302,  108,    0
100747,19010303,  211,    0
100747,19010304,   71,    0
100747,19010305,   53,    0
100747,19010306,   28,    0
100747,19010307,    0,    0
100747,19010308,    0,    0
100747,19010309,    0,    0
100747,19010310,   16,    0
100747,19010311,    2,    0
100747,19010312,    1,    0
100747,19010313,    0,    0
100747,19010314,    0,    0
100747,19010315,   47,    0
100747,19010316,    1,    0
100747,19010317,    1,    0
100747,19010318,    3,    0
100747,19010319,    0,    0
100747,19010320,   83,    0
100747,19010321,    0,    0
100747,19010322,    0,    0
100747,19010323,    0,    0
100747,19010324,    0,    0
100747,19010325,    0,    0
100747,19010326,    2,    0
100747,19010327,    0,    0
100747,19010328,    7,    0
100747,19010329,    0,    0
100747,19010330,    0,    0
100747,19010331,   12,    0
100747,19010401,  248,    0
100747,19010402,    0,    0
100747,19010403,    5,    0
100747,19010404,   84,    0
100747,19010405,   72,    0
100747,19010406,    1,    0
100747,19010407,  148,    0
100747,19010408,    0,    0
100747,19010409,   70,    0
100747,19010410,  118,    0
100747,19010411,   11,    0
100747,19010412,  162,    0
100747,19010413,   19,    0
100747,19010414,  122,    0
100747,19010415,   28,    0
100747,19010416,   25,    0
100747,19010417,   62,    0
100747,19010418,    0,    0
100747,19010419,    0,    0
100747,19010420,    0,    0
100747,19010421,    0,    0
100747,19010422,    0,    0
100747,19010423,    0,    0
100747,19010424,    0,    0
100747,19010425,    1,    0
100747,19010426,   47,    0
100747,19010427,   39,    0
100747,19010428,    0,    0
100747,19010429,  198,    0
100747,19010430,   10,    0
100747,19010501,    0,    0
100747,19010502,    0,    0
100747,19010503,    0,    0
100747,19010504,    0,    0
100747,19010505,    0,    0
100747,19010506,   71,    0
100747,19010507,   47,    0
100747,19010508,   12,    0
100747,19010509,    1,    0
100747,19010510,   23,    0
100747,19010511,    0,    0
100747,19010512,    0,    0
100747,19010513,    0,    0
100747,19010514,    0,    0
100747,19010515,    0,    0
100747,19010516,    0,    0
100747,19010517,    0,    0
100747,19010518,    0,    0
100747,19010519,    0,    0
100747,19010520,    0,    0
100747,19010521,    0,    0
100747,19010522,   46,    0
100747,19010523,    0,    0
100747,19010524,    0,    0
100747,19010525,    2,    0
100747,19010526,   39,    0
100747,19010527,    0,    0
100747,19010528,    0,    0
100747,19010529,    0,    0
100747,19010530,    0,    0
100747,19010531,    0,    0
100747,19010601,    0,    0
100747,19010602,  122,    0
100747,19010603,    0,    0
100747,19010604,    3,    0
100747,19010605,    0,    0
100747,19010606,    0,    0
100747,19010607,    0,    0
100747,19010608,    7,    0
100747,19010609,    2,    0
100747,19010610,   16,    0
100747,19010611,    0,    0
100747,19010612,    0,    0
100747,19010613,    0,    0
100747,19010614,  354,    0
100747,19010615,   75,    0
100747,19010616,   41,    0
100747,19010617,    7,    0
100747,19010618,  103,    0
100747,19010619,    0,    0
100747,19010620,    0,    0
100747,19010621,    0,    0
100747,19010622,    0,    0
100747,19010623,    3,    0
100747,19010624,    0,    0
100747,19010625,    0,    0
100747,19010626,    0,    0
100747,19010627,    0,    0
100747,19010628,   19,    0
100747,19010629,    3,    0
100747,19010630,   46,    0
100747,19010701,   44,    0
100747,19010702,   51,    0
100747,19010703,  249,    0
100747,19010704,   35,    0
100747,19010705,   85,    0
100747,19010706,    0,    0
100747,19010707,    0,    0
100747,19010708,    0,    0
100747,19010709,    0,    0
100747,19010710,    0,    0
100747,19010711,    0,    0
100747,19010712,    0,    0
100747,19010713,    0,    0
100747,19010714,    0,    0
100747,19010715,    0,    0
100747,19010716,    0,    0
100747,19010717,    0,    0
100747,19010718,    0,    0
100747,19010719,    0,    0
100747,19010720,    0,    0
100747,19010721,    9,    0
100747,19010722,    0,    0
100747,19010723,    0,    0
100747,19010724,   33,    0
100747,19010725,   68,    0
100747,19010726,    0,    0
100747,19010727,  220,    0
100747,19010728,  373,    0
100747,19010729,   17,    0
100747,19010730,    9,    0
100747,19010731,  123,    0
100747,19010801,   89,    0
100747,19010802,  153,    0
100747,19010803,    0,    0
100747,19010804,    0,    0
100747,19010805,    0,    0
100747,19010806,    4,    0
100747,19010807,    0,    0
100747,19010808,    0,    0
100747,19010809,    0,    0
100747,19010810,    0,    0
100747,19010811,   86,    0
100747,19010812,  246,    0
100747,19010813,    0,    0
100747,19010814,    0,    0
100747,19010815,   60,    0
100747,19010816,    0,    0
100747,19010817,    0,    0
100747,19010818,    0,    0
100747,19010819,    0,    0
100747,19010820,    0,    0
100747,19010821,    0,    0
100747,19010822,    0,    0
100747,19010823,    0,    0
100747,19010824,    0,    0
100747,19010825,  339,    0
100747,19010826,  175,    0
100747,19010827,    8,    0
100747,19010828,  143,    0
100747,19010829,    0,    0
100747,19010830,    0,    0
100747,19010831,   41,    0
100747,19010901,    0,    0
100747,19010902,    0,    0
100747,19010903,  124,    0
100747,19010904,  140,    0
100747,19010905,    6,    0
100747,19010906,    0,    0
100747,19010907,    0,    0
100747,19010908,    0,    0
100747,19010909,    0,    0
100747,19010910,   31,    0
100747,19010911,  303,    0
