EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
105112,19310101,    0,    0
105112,19310102,    0,    0
105112,19310103,    0,    0
105112,19310104,    0,    0
105112,19310105,    0,    0
105112,19310106,    0,    0
105112,19310107,    0,    0
105112,19310108,    0,    0
105112,19310109,    0,    0
105112,19310110,    0,    0
105112,19310111,    0,    0
105112,19310112,    0,    0
105112,19310113,    0,    0
105112,19310114,    0,    0
105112,19310115,    1,    0
105112,19310116,    1,    0
105112,19310117,    1,    0
105112,19310118,    1,    0
105112,19310119,    0,    0
105112,19310120,    0,    0
105112,19310121,    0,    0
105112,19310122,    0,    0
105112,19310123,    0,    0
105112,19310124,    0,    0
105112,19310125,    0,    0
105112,19310126,    0,    0
105112,19310127,    0,    0
105112,19310128,    0,    0
105112,19310129,    1,    0
105112,19310130,    0,    0
105112,19310131,    0,    0
105112,19310201,    0,    0
105112,19310202,    0,    0
105112,19310203,    0,    0
105112,19310204,    0,    0
105112,19310205,    0,    0
105112,19310206,    0,    0
105112,19310207,    0,    0
105112,19310208,    0,    0
105112,19310209,    0,    0
105112,19310210,    0,    0
105112,19310211,    0,    0
105112,19310212,    0,    0
105112,19310213,    0,    0
105112,19310214,    2,    0
105112,19310215,    0,    0
105112,19310216,    0,    0
105112,19310217,    1,    0
105112,19310218,    0,    0
105112,19310219,    0,    0
105112,19310220,    2,    0
105112,19310221,    0,    0
105112,19310222,    0,    0
105112,19310223,    0,    0
105112,19310224,    0,    0
105112,19310225,    0,    0
105112,19310226,    0,    0
105112,19310227,    0,    0
105112,19310228,    0,    0
105112,19310301,    2,    0
105112,19310302,    1,    0
105112,19310303,    1,    0
105112,19310304,    0,    0
105112,19310305,    0,    0
105112,19310306,    0,    0
105112,19310307,    0,    0
105112,19310308,    4,    0
105112,19310309,   12,    0
105112,19310310,    4,    0
105112,19310311,    3,    0
105112,19310312,    2,    0
105112,19310313,    1,    0
105112,19310314,    1,    0
105112,19310315,    0,    0
105112,19310316,    0,    0
105112,19310317,    0,    0
105112,19310318,    0,    0
105112,19310319,    0,    0
105112,19310320,    0,    0
105112,19310321,    0,    0
105112,19310322,    0,    0
105112,19310323,    0,    0
105112,19310324,    0,    0
105112,19310325,    0,    0
105112,19310326,    0,    0
105112,19310327,    0,    0
105112,19310328,    0,    0
105112,19310329,    0,    0
105112,19310330,    0,    0
105112,19310331,    0,    0
105112,19310401,    0,    0
105112,19310402,    0,    0
105112,19310403,    0,    0
105112,19310404,    0,    0
105112,19310405,    0,    0
105112,19310406,    0,    0
105112,19310407,    0,    0
105112,19310408,    0,    0
105112,19310409,    0,    0
105112,19310410,    0,    0
105112,19310411,    0,    0
105112,19310412,    0,    0
105112,19310413,    0,    0
105112,19310414,    0,    0
105112,19310415,    0,    0
105112,19310416,    0,    0
105112,19310417,    0,    0
105112,19310418,    0,    0
105112,19310419,    0,    0
105112,19310420,    0,    0
105112,19310421,    0,    0
105112,19310422,    0,    0
105112,19310423,    0,    0
105112,19310424,    0,    0
105112,19310425,    0,    0
105112,19310426,    0,    0
105112,19310427,    0,    0
105112,19310428,    0,    0
105112,19310429,    0,    0
105112,19310430,    0,    0
105112,19310501,    0,    0
105112,19310502,    0,    0
105112,19310503,    0,    0
105112,19310504,    0,    0
105112,19310505,    0,    0
105112,19310506,    0,    0
105112,19310507,    0,    0
105112,19310508,    0,    0
105112,19310509,    0,    0
105112,19310510,    0,    0
105112,19310511,    0,    0
105112,19310512,    0,    0
105112,19310513,    0,    0
105112,19310514,    0,    0
105112,19310515,    0,    0
105112,19310516,    0,    0
105112,19310517,    0,    0
105112,19310518,    0,    0
105112,19310519,    0,    0
105112,19310520,    0,    0
105112,19310521,    0,    0
105112,19310522,    0,    0
105112,19310523,    0,    0
105112,19310524,    0,    0
105112,19310525,    0,    0
105112,19310526,    0,    0
105112,19310527,    0,    0
105112,19310528,    0,    0
105112,19310529,    0,    0
105112,19310530,    0,    0
105112,19310531,    0,    0
105112,19310601,    0,    0
105112,19310602,    0,    0
105112,19310603,    0,    0
105112,19310604,    0,    0
105112,19310605,    0,    0
105112,19310606,    0,    0
105112,19310607,    0,    0
105112,19310608,    0,    0
105112,19310609,    0,    0
105112,19310610,    0,    0
105112,19310611,    0,    0
105112,19310612,    0,    0
105112,19310613,    0,    0
105112,19310614,    0,    0
105112,19310615,    0,    0
105112,19310616,    0,    0
105112,19310617,    0,    0
105112,19310618,    0,    0
105112,19310619,    0,    0
105112,19310620,    0,    0
105112,19310621,    0,    0
105112,19310622,    0,    0
105112,19310623,    0,    0
105112,19310624,    0,    0
105112,19310625,    0,    0
105112,19310626,    0,    0
105112,19310627,    0,    0
105112,19310628,    0,    0
105112,19310629,    0,    0
105112,19310630,    0,    0
105112,19310701,    0,    0
105112,19310702,    0,    0
105112,19310703,    0,    0
105112,19310704,    0,    0
105112,19310705,    0,    0
105112,19310706,    0,    0
105112,19310707,    0,    0
105112,19310708,    0,    0
105112,19310709,    0,    0
105112,19310710,    0,    0
105112,19310711,    0,    0
105112,19310712,    0,    0
