param_p,param_q,AIC
0.0,0.0,198.89980509125533
0.0,1.0,194.62226960763482
0.0,2.0,188.95926766441895
0.0,3.0,189.42560933720284
0.0,4.0,191.41696718355755
0.0,5.0,192.11245304800448
0.0,6.0,193.99472803827916
0.0,7.0,195.6310433027864
0.0,8.0,194.05111955284156
0.0,9.0,194.72611140673035
1.0,0.0,191.7210980170729
1.0,1.0,187.66048305911895
1.0,2.0,189.46964819951077
1.0,3.0,189.55569641893473
1.0,4.0,191.55848666969894
1.0,5.0,192.24413179180863
1.0,6.0,194.02410753977512
1.0,7.0,195.2246175182555
1.0,8.0,195.72306433244756
1.0,9.0,195.1140903731494
2.0,0.0,187.65576565476618
2.0,1.0,189.48732313065904
2.0,2.0,191.44954154095782
2.0,3.0,191.531044182562
2.0,4.0,189.90822006950097
2.0,5.0,191.79466206383566
2.0,6.0,193.33704681193396
2.0,7.0,195.33561227412724
2.0,8.0,195.41961557366147
2.0,9.0,196.4475001584919
3.0,0.0,189.4387757076357
3.0,1.0,187.96641951800697
3.0,2.0,189.96959114679856
3.0,3.0,191.9661157914811
3.0,4.0,193.53134761057237
3.0,5.0,192.84051544047716
3.0,6.0,194.72766105719913
3.0,7.0,190.18434689158488
3.0,8.0,198.75940562945294
3.0,9.0,198.02970446871223
