param_p,param_q,AIC
0.0,0.0,5505.958494580413
0.0,1.0,5434.013070618752
0.0,2.0,5417.736817074339
0.0,3.0,5408.272834700638
0.0,4.0,5409.7236127705855
1.0,0.0,5418.292293179755
1.0,1.0,5389.304099528896
1.0,2.0,5361.244706172179
1.0,3.0,5359.804689459898
1.0,4.0,5360.461888280161
2.0,0.0,5407.197254531906
2.0,1.0,5358.686425010379
2.0,2.0,5359.544853024399
2.0,3.0,5359.6705178813745
2.0,4.0,5360.034903230865
3.0,0.0,5403.907123293486
3.0,1.0,5405.607140211185
3.0,2.0,5356.961934527291
3.0,3.0,5357.460277209753
3.0,4.0,5348.299337167552
4.0,0.0,5405.804536587485
4.0,1.0,5361.415228645825
4.0,2.0,5357.155366000465
4.0,3.0,5347.842858721522
4.0,4.0,5349.7311150596815
5.0,0.0,5402.454879620986
5.0,1.0,5359.745028973712
5.0,2.0,5359.138577972766
5.0,3.0,5349.752979502457
5.0,4.0,5345.991821663634
6.0,0.0,5403.848191251498
6.0,1.0,5401.384029352403
6.0,2.0,5358.235824130274
6.0,3.0,5351.368287269854
6.0,4.0,5347.990096671849
7.0,0.0,5399.68151839194
7.0,1.0,5361.528839443265
7.0,2.0,5360.209325902818
7.0,3.0,5351.2813417752905
7.0,4.0,5352.114291266175
8.0,0.0,5392.849374205009
8.0,1.0,5363.464458945382
8.0,2.0,5360.535486817339
8.0,3.0,5351.618036108054
8.0,4.0,5353.5773806035995
9.0,0.0,5390.224566134961
9.0,1.0,5364.41765438642
9.0,2.0,5362.529745892283
9.0,3.0,5353.559232330055
9.0,4.0,5350.00171855147
10.0,0.0,5388.426858749117
10.0,1.0,5366.203638830773
10.0,2.0,5363.060490369723
10.0,3.0,5364.847505983903
10.0,4.0,5351.994225310351
11.0,0.0,5386.035062632969
11.0,1.0,5387.031604858766
11.0,2.0,5364.988455799174
11.0,3.0,5357.449792884686
11.0,4.0,5353.975523815043
